LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
35m         Normal    Pulling                        pod/web-2                                      Pulling image "nginx"
35m         Normal    Pulling                        pod/api-backend-dev-b448f6d6d-zjd4m            Pulling image "nginx"
35m         Normal    Pulling                        pod/pod-e                                      Pulling image "busybox"
35m         Normal    Pulling                        pod/httpds-bbd777f8d-svclx                     Pulling image "httpd"
35m         Normal    Pulling                        pod/react-frontend-dev-79b7b6cc87-59ttw        Pulling image "nginx"
35m         Normal    Pulled                         pod/recreate-deployment-866ccdc575-msjjh       Container image "nginx:1.26" already present on machine
35m         Normal    Pulled                         pod/web-app-5c89984b6f-4sf2t                   Container image "nginx:1.19" already present on machine
35m         Normal    Pulled                         pod/web-app-5c89984b6f-nsjdd                   Container image "nginx:1.19" already present on machine
35m         Normal    Created                        pod/pod-i                                      Created container: dummy
35m         Normal    Pulling                        pod/httpds-bbd777f8d-nfsh9                     Pulling image "httpd"
35m         Normal    Pulling                        pod/httpd-7ffb6c7dd7-lcwxq                     Pulling image "httpd"
35m         Normal    Pulling                        pod/nginx                                      Pulling image "nginx"
35m         Normal    Pulling                        pod/httpds-bbd777f8d-5qlpk                     Pulling image "httpd"
35m         Normal    Pulling                        pod/pod-f                                      Pulling image "busybox"
35m         Normal    Pulling                        pod/react-frontend-dev-79b7b6cc87-7wt8p        Pulling image "nginx"
35m         Normal    Pulling                        pod/pod-g                                      Pulling image "busybox"
35m         Normal    Pulling                        pod/react-frontend-dev-79b7b6cc87-b5p7m        Pulling image "nginx"
35m         Normal    Pulling                        pod/pod-b                                      Pulling image "busybox"
35m         Normal    Pulling                        pod/deploy-6f66f85776-h2wd8                    Pulling image "nginx:1.25"
35m         Normal    Created                        pod/web-app-5c89984b6f-4sf2t                   Created container: nginx
35m         Normal    Pulling                        pod/httpd-7ffb6c7dd7-qzfwh                     Pulling image "httpd"
35m         Normal    Pulling                        pod/nginx-deployment-86c57bc6b8-sksw5          Pulling image "nginx"
35m         Normal    Pulling                        pod/pod-a                                      Pulling image "busybox"
35m         Normal    Created                        pod/recreate-deployment-866ccdc575-msjjh       Created container: recreate-container
35m         Normal    Pulled                         pod/rolling-deployment-55b6d89599-qshvp        Container image "nginx:1.26" already present on machine
35m         Normal    Pulled                         pod/web-app-5c89984b6f-wxds8                   Container image "nginx:1.19" already present on machine
35m         Normal    Pulling                        pod/nginx-deployment-86c57bc6b8-8rk92          Pulling image "nginx"
35m         Normal    Pulled                         pod/pod-d                                      Successfully pulled image "busybox" in 5.135s (11.209s including waiting). Image size: 4277910 bytes.
35m         Normal    Created                        pod/web-app-5c89984b6f-nsjdd                   Created container: nginx
35m         Normal    Created                        pod/pod-d                                      Created container: dummy
35m         Normal    Pulling                        pod/httpd-7ffb6c7dd7-dzxfv                     Pulling image "httpd"
35m         Normal    Created                        pod/rolling-deployment-55b6d89599-qshvp        Created container: rolling-container
35m         Normal    Created                        pod/web-app-5c89984b6f-wxds8                   Created container: nginx
35m         Normal    Pulled                         pod/nginx-deployment-86c57bc6b8-xcmgp          Successfully pulled image "nginx" in 3.572s (20.811s including waiting). Image size: 192226221 bytes.
35m         Normal    Created                        pod/nginx-deployment-86c57bc6b8-xcmgp          Created container: nginx
35m         Normal    Started                        pod/pod-i                                      Started container dummy
35m         Normal    Started                        pod/web-app-5c89984b6f-nsjdd                   Started container nginx
35m         Normal    Started                        pod/recreate-deployment-866ccdc575-msjjh       Started container recreate-container
35m         Normal    Started                        pod/rolling-deployment-55b6d89599-qshvp        Started container rolling-container
35m         Normal    Started                        pod/web-app-5c89984b6f-wxds8                   Started container nginx
35m         Normal    Started                        pod/web-app-5c89984b6f-4sf2t                   Started container nginx
35m         Normal    Started                        pod/pod-d                                      Started container dummy
35m         Normal    Started                        pod/nginx-deployment-86c57bc6b8-xcmgp          Started container nginx
35m         Normal    Pulled                         pod/standalone-nginx                           Successfully pulled image "nginx" in 7.222s (22.033s including waiting). Image size: 192226221 bytes.
34m         Normal    Created                        pod/standalone-nginx                           Created container: nginx
34m         Normal    Pulled                         pod/api-backend-dev-b448f6d6d-zjd4m            Successfully pulled image "nginx" in 6.537s (27.694s including waiting). Image size: 192226221 bytes.
34m         Normal    Started                        pod/standalone-nginx                           Started container nginx
34m         Normal    Created                        pod/api-backend-dev-b448f6d6d-zjd4m            Created container: api-server
34m         Normal    Pulled                         pod/api-backend-dev-b448f6d6d-8gzdz            Successfully pulled image "nginx" in 12.738s (40.47s including waiting). Image size: 192226221 bytes.
34m         Normal    Started                        pod/api-backend-dev-b448f6d6d-zjd4m            Started container api-server
34m         Normal    Created                        pod/api-backend-dev-b448f6d6d-8gzdz            Created container: api-server
34m         Normal    Started                        pod/api-backend-dev-b448f6d6d-8gzdz            Started container api-server
34m         Normal    Pulled                         pod/web-2                                      Successfully pulled image "nginx" in 4.586s (54.121s including waiting). Image size: 192226221 bytes.
34m         Normal    Created                        pod/web-2                                      Created container: nginx
34m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/myapp                  invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
34m         Normal    Started                        pod/web-2                                      Started container nginx
